TransporterID	Protein_Name_generally	DrugID	Drug_Name	Km (microM)	Cell System
DTD0031	Organic anion transporting polypeptide 2B1	DR00856	Mesalazine	188.9	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00206	Pitavastatin calcium	1.17	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00045	Pravastatin	2250	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00223	Rosuvastatin	6.42	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00248	Telmisartan	1.09	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00019	Estrone sulfate	1.56	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00019	Estrone sulfate	7.14	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00019	Estrone sulfate	8.09	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00019	Estrone sulfate	10.2	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00019	Estrone sulfate	12.5	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00019	Estrone sulfate	13.1	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00019	Estrone sulfate	20.9	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00019	Estrone sulfate	38.24	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00053	Sodium taurocholate	71.8	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR01121	Taurocholic acid	71.8	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00019	Estrone sulfate	1.81	Human enterocyte-like 2 cells (Caco-2)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00030	Atorvastatin	0.2	Madin-Darby canine kidney cells (MDCKII)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00305	Bromsulphthalein	0.7	Oocytes-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00019	Estrone sulfate	6.3	Oocytes-OATP2B1
DTD0046	ATP-binding cassette sub-family A member 8	DR00067	Aminohippuric acid	5	Xenopus laevis oocytes-ABCA8
DTD0046	ATP-binding cassette sub-family A member 8	DR00019	Estrone sulfate	0.5	Xenopus laevis oocytes-ABCA8
DTD0046	ATP-binding cassette sub-family A member 8	DR00229	Ochratoxin A	0.4	Xenopus laevis oocytes-ABCA8
DTD0046	ATP-binding cassette sub-family A member 8	DR00053	Sodium taurocholate	10.3	Xenopus laevis oocytes-ABCA8
DTD0056	Multidrug resistance-associated protein 7	DR00193	Tamoxifen	0.078	LLC-PK1 cells-MRP7
DTD0057	Multidrug resistance-associated protein 8	DR00082	Methotrexate	957	LLC-PK1 cells-MRP8
DTD0099	Peptide transporter 4	DR00282	L-histidine	16.3	Xenopus laevis oocytes-PTR4
DTD0099	Peptide transporter 4	DR00375	Peptides	1.69	Xenopus laevis oocytes-PTR4
DTD0100	Monocarboxylate transporter 1	DR00293	Pyroglutamic acid	4	Oocytes-MCT1
DTD0100	Monocarboxylate transporter 1	DR01241	Milchsaure	4	Xenopus laevis oocytes-MCT1
DTD0107	Monocarboxylate transporter 4	DR01241	Milchsaure	28	Oocytes-MCT4
DTD0111	Monocarboxylate transporter 2	DR01241	Milchsaure	6.5	Oocytes-MCT2
DTD0114	Sodium-dependent phosphate transport protein 1	DR00203	Aspirin	1900	Oocytes-NPT1
DTD0115	Sodium-dependent phosphate transport protein 3	DR00067	Aminohippuric acid	0.4	E.coli C43 (DE3) cells-NPT3
DTD0116	Sodium-dependent phosphate transport protein 4	DR00067	Aminohippuric acid	9560	Oocytes-NPT4
DTD0117	Probable small intestine urate exporter	DR00067	Aminohippuric acid	700	E.coli C43 (DE3) cells-hNPT homologue
DTD0118	Vesicular H(+)/Aspartate-glutamate cotransporter	DR01243	N-acetylaspartylglutamate	200	Proteoliposomes-Sialin
DTD0124	Vesicular acetylcholine transporter	DR00070	Acetylcholine	1000	Synaptic vesicles-VAChT
DTD0125	MFS-type transporter SLC18B1	DR01250	Spermidine	4200	High five cells-SLC18B1
DTD0125	MFS-type transporter SLC18B1	DR01249	Spermine	94	High five cells-SLC18B1
DTD0126	Folate transporter 1	DR00318	Pemetrexed	0.2	Human liver cancer cells (HepG2)-FLOT1
DTD0128	Thiamine transporter 2	DR00133	Metformin	1150	Human embryonic kidney cells-hTHTR2
DTD0128	Thiamine transporter 2	DR00117	Vitamin B1	3.16	Human embryonic kidney cells-hTHTR2
DTD0129	Excitatory amino acid transporter 3	DR00005	L-glutamic acid	9.9	Human embryonic kidney cells (HEK293)-EAAT3
DTD0129	Excitatory amino acid transporter 3	DR00005	L-glutamic acid	25	Human embryonic kidney cells (HEK293)-EAAT3
DTD0130	Excitatory amino acid transporter 2	DR00005	L-glutamic acid	21	Human embryonic kidney cells (HEK293)-EAAT2
DTD0130	Excitatory amino acid transporter 2	DR00005	L-glutamic acid	21	Human embryonic kidney cells (HEK293)-EAAT2
DTD0132	Alanine/serine/cysteine/threonine transporter 1	DR00047	D-serine	206	Oocytes-ASCT1
DTD0132	Alanine/serine/cysteine/threonine transporter 1	DR00142	L-alanine	194	Rat hippocampal astrocyte-ASCT1
DTD0132	Alanine/serine/cysteine/threonine transporter 1	DR00047	D-serine	2200	Rat hippocampal astrocyte-ASCT1
DTD0133	Alanine/serine/cysteine/threonine transporter 2	DR00242	Glycine	320	HRPE cells-ASCT2
DTD0133	Alanine/serine/cysteine/threonine transporter 2	DR00047	D-serine	167	Oocytes-ASCT2
DTD0142	Fly-like putative transporter 2	DR00255	L-carnitine	20	Oocytes-FLIPT2
DTD0145	Organic anion transporter 6	DR00019	Estrone sulfate	44.8	Chinese hamster ovary (CHO) cells-mOat6
DTD0145	Organic anion transporter 6	DR00019	Estrone sulfate	109.8	Oocytes-mOat6
DTD0151	Organic cation/carnitine transporter 1	DR00277	Ipratropium	444	Human embryonic kidney cells (HEK293)-OCTN1
DTD0151	Organic cation/carnitine transporter 1	DR00106	Tetraethylammonium	436	Human embryonic kidney cells (HEK293)-OCTN1
DTD0151	Organic cation/carnitine transporter 1	DR00106	Tetraethylammonium	1800	Human embryonic kidney cells (HEK293)-OCTN1
DTD0151	Organic cation/carnitine transporter 1	DR00106	Tetraethylammonium	195	Oocytes-OCTN1
DTD0152	Organic anion transporter 7	DR00045	Pravastatin	1	Vector-transfected cells-OAT7
DTD0175	Graves disease carrier protein	DR00302	Coenzyme A	140	Yeast cells-GDC
DTD0176	Peroxisomal membrane protein PMP34	DR00100	Adenosine monophosphate	190	Human liver cancer cells (HepG2)-PMP34
DTD0190	Mitochondrial ornithine transporter 3	DR00188	Arginine	420	SLC25A29-reconstituted Liposomes
DTD0190	Mitochondrial ornithine transporter 3	DR00115	Lysine	710	SLC25A29-reconstituted Liposomes
DTD0205	Mitochondrial coenzyme A transporter SLC25A42	DR00302	Coenzyme A	71	Liposomes reconstituted with SLC25A42
DTD0245	Concentrative nucleoside transporter 2	DR01277	Entecavir	53.2	Madin-Darby canine kidney (MDCK) cells-hCNT2
DTD0246	Concentrative Na(+)-nucleoside cotransporter 3	DR01277	Entecavir	23.1	Madin-Darby canine kidney (MDCK) cells-hCNT3
DTD0246	Concentrative Na(+)-nucleoside cotransporter 3	DR00176	Ribavirin	28.2	Xenopus oocytes-hCNT3 and hENT1
DTD0247	Equilibrative nucleoside transporter 1	DR00923	Tecadenoson	24	CCRF-CEM cells-ENT1
DTD0247	Equilibrative nucleoside transporter 1	DR00923	Tecadenoson	196	Oocytes-ENT1
DTD0249	Equilibrative nucleoside transporter 3	DR00087	Cladribine	1860	Xenopus Oocytes-ENT3
DTD0249	Equilibrative nucleoside transporter 3	DR00717	Cordycepin	1860	Xenopus Oocytes-ENT3
DTD0249	Equilibrative nucleoside transporter 3	DR00718	Tubercidin	1860	Xenopus Oocytes-ENT3
DTD0251	Glucose transporter type 1	DR00260	Dehydroascorbic acid	1100	Chinese hamster ovary (CHO) cells-GLUT1
DTD0252	Glucose transporter type 10	DR00011	2-Deoxyglucose	300	Xenopus oocytes-GLUT10
DTD0257	Glucose transporter type 2	DR00011	2-Deoxyglucose	1120	Human pancreatic beta cells-GLUT2
DTD0265	Glucose transporter type 7	DR00011	2-Deoxyglucose	300	Xenopus oocytes-GLUT7
DTD0266	Glucose transporter type 8	DR00011	2-Deoxyglucose	2000	Xenopus oocytes-GLUT8
DTD0318	Proton-coupled amino acid transporter 1	DR00057	Aminolevulinic acid	6800	Monkey kidney fibroblast-like cell (COS)7-hPAT1
DTD0318	Proton-coupled amino acid transporter 1	DR00270	Vigabatrin	5200	X.Laevis oocytes-hPAT1
DTD0336	Sodium-coupled neutral amino acid transporter 9	DR00188	Arginine	39000	Human embryonic kidney cells-293T
DTD0343	Zrt- and Irt-like protein 2	DR00068	Zinc salts	3	Human embryonic kidney cells (HEK293)-ZIP2
DTD0346	Zrt- and Irt-like protein 5	DR00068	Zinc salts	2.1	Human embryonic kidney cells (HEK293)-ZIP5
DTD0363	Choline transporter-like protein 1	DR00121	Choline	15	A549 and rat ATII cells
DTD0372	Proton-coupled folate transporter	DR00318	Pemetrexed	0.2	Human liver cancer cells (HepG2)-PCFT
DTD0372	Proton-coupled folate transporter	DR00082	Methotrexate	4.2	Model organism in vivo (rat)
DTD0452	Sodium-dependent noradrenaline transporter	DR00268	Norepinephrine	690	Monkey kidney fibroblast-like cell (COS)1-NET
DTD0471	L-type amino acid transporter 1	DR00217	Gabapentin	530	hCMEC/D3 cells-LAT1
DTD0471	L-type amino acid transporter 1	DR01255	Pregabalin	288	hCMEC/D3 cells-LAT1
DTD0471	L-type amino acid transporter 1	DR00125	Levodopa	200	Human embryonic kidney cells (HEK293)-LAT1
DTD0475	L-type amino acid transporter 2	DR00266	L-phenylalanine	12.2	Xenopus oocytes-LAT2
DTD0499	Organic anion transporting polypeptide 1C1	DR00107	Levothyroxine	0.0904	Chinese hamster ovary (CHO) cells-OATP1C1
DTD0501	Organic anion transporting polypeptide 3A1	DR00210	Alprostadil	0.0485	Oocytes-OATP3A1
DTD0502	Organic anion transporting polypeptide 4A1	DR00173	Liothyronine	0.9	Oocytes-OATP4A1
DTD0502	Organic anion transporting polypeptide 4A1	DR01121	Taurocholic acid	14.9	Oocytes-OATP4A1
DTD0503	Organic anion transporting polypeptide 4C1	DR00148	Digoxin	7.8	Madin-Darby canine kidney (MDCK) cells-OATP4C1
DTD0503	Organic anion transporting polypeptide 4C1	DR00173	Liothyronine	5.9	Madin-Darby canine kidney (MDCK) cells-OATP4C1
DTD0503	Organic anion transporting polypeptide 4C1	DR00155	Ouabain	0.38	Madin-Darby canine kidney (MDCK) cells-OATP4C1
DTD0537	RalBP1-associated Eps domain-containing protein 2	DR00304	Sorafenib	10.4	Human kidney cancer cells (Caki-2)-RALBP1
DTD0537	RalBP1-associated Eps domain-containing protein 2	DR00454	Sunitinib	7.2	Human kidney cancer cells (Caki-2)-RALBP1
DTD0093	Sodium/dicarboxylate cotransporter 3	DR00139	Alpha-ketoglutaric acid	149	HEK293T cells-NADC3
DTD0093	Sodium/dicarboxylate cotransporter 3	DR01246	Succinate	112	HEK293T cells-NADC3
DTD0392	Organic solute transporter subunit beta	DR00019	Estrone sulfate	320	Oocytes-OSTalpha-OSTbeta
DTD0091	Sodium/sulfate cotransporter 1	DR00060	Sulfate	93	Renal and intestinal epithelial cells
DTD0094	Na(+)/sulfate cotransporter SUT-1	DR00060	Sulfate	0.38	Xenopus oocytes-SUT1
